time,error_original,error_method1,error_method2,error_method3,error_method4,similarity_top1,similarity_mean,momentum1_magnitude,momentum2_magnitude,momentum3_magnitude,momentum4_magnitude
852,17.695086060808475,15.273037823718669,14.013377269182364,16.684738601858218,17.59808469664779,0.8923211671103939,0.8897080977078946,2.334064586505427,3.5442588228936214,0.9042806269090153,0.00016898048161935312
853,17.71097225243779,15.252438654681214,13.992066429732501,16.66914408629313,17.58457948419718,0.910243161700095,0.9043382852630104,2.3427378929407183,3.6112099563122695,0.9201822229997125,0.00016581941487180406
854,17.65902946107153,15.216785205905598,13.972131386167202,16.64190524465829,17.555416741274627,0.9025612533425655,0.8988943955900673,2.348754887473841,3.5792929485397447,0.9129150658059525,0.00016122150094552635
855,17.62047866939619,15.178127254820893,13.924280326124533,16.60641349119042,17.52397294250731,0.9112752105812525,0.9041704897157302,2.356742438734434,3.6431673189506473,0.9280103728453113,0.00015906248320353409
856,17.725806643252483,15.168022501336495,13.915876764070994,16.60112415570237,17.519860650449658,0.8955963440605937,0.8926962190977296,2.3607389212711856,3.607014832060886,0.9196928729799089,0.00015524338363580471
857,17.783080921972896,15.198410754917084,13.926956924424776,16.632695106975753,17.557954960002487,0.9201319763366455,0.913153514641165,2.3716051328806547,3.674011312621656,0.9356391186225047,0.0001572784936360248
858,17.64214369535745,15.166467754739267,13.89818654568716,16.60596626571346,17.532046465249657,0.893883703100653,0.8906575115390586,2.374196738792775,3.6345627417258024,0.9264540247123331,0.00015366593408948213
859,17.825487130016512,15.206940761189802,13.921399603543332,16.64701989373209,17.578739234978986,0.9050968692212149,0.9003956523349894,2.3808236349815872,3.6939645507812786,0.9405005038591339,0.00015534159634288217
860,17.674105699471387,15.201732715749909,13.921176899130469,16.646584257259587,17.57837838056994,0.8924847648764657,0.888798302141755,2.3831226862566806,3.652836430342381,0.9309007557568318,0.00015194010161881006
861,17.61486785905994,15.17017579161037,13.874133995729919,16.614732051208367,17.55124963394776,0.8963983186144602,0.8935518910848103,2.3863744293062554,3.7070601130554968,0.9435656220717069,0.00015442005030873396
862,17.691717052091235,15.150296316384285,13.847414360740725,16.595494688567005,17.53431367745602,0.8879997406029645,0.8835079295237172,2.387858467542566,3.7077871541544054,0.9436921582156681,0.0001676808716769918
863,17.782518703056535,15.169298820845052,13.84243205308628,16.612586788688112,17.558229729787662,0.9136281078080211,0.9081221811176132,2.397055482518067,3.7651212817619713,0.9572902889069713,0.0001685095282286788
864,17.683296731343567,15.143767417867657,13.80471797867686,16.586753483436652,17.53603529135049,0.8842049787496308,0.8802672913754257,2.3973747320340744,3.7596051267161203,0.9559100009104411,0.00018092060240246151
865,17.836547680344818,15.18475753101979,13.819215246042978,16.62534098209008,17.58204793742685,0.91006078638959,0.90291028733097,2.4058510955725128,3.810490250167236,0.9679687170848932,0.000179645971219374
866,17.934843283469505,15.268676477393297,13.903511875419811,16.712706318829415,17.670438394940824,0.8891963923413018,0.8848540985762995,2.408589067481969,3.760061474552536,0.9562514299927993,0.00017722174957068395
867,17.96008908808913,15.316696555678755,13.938089622835545,16.761856353533048,17.72418397825723,0.9060857386314884,0.9019136268838416,2.416249326280712,3.8118128999028067,0.9685356118337912,0.00017642773064682215
868,18.095360718467955,15.37279552243327,14.00366458431821,16.82446267783219,17.78607580844125,0.9020439797979717,0.8988744765888967,2.42318685375759,3.7682081460197767,0.9585826379844504,0.00017433491197250148
869,17.96657889165731,15.381271439675904,14.00430672038085,16.83710626970089,17.802651825766617,0.9218249948527629,0.9166479851293939,2.4348534933103805,3.8272758599445647,0.9726662116534252,0.00017391993464799208
870,18.05850929563521,15.4208876003267,14.05731697214643,16.88536981792099,17.849726241415897,0.9028933732555153,0.8981663913280233,2.44099122601513,3.7826811254927093,0.962407028872902,0.00017207594980208537
871,18.13259868348795,15.469620446252875,14.12536409539374,16.945042761488097,17.90716531181282,0.9168419381658819,0.9131302754411728,2.4511225929262603,3.7489273251590722,0.9548317112160424,0.0001712987511043506
872,18.14496765756324,15.491901878162619,14.166127495563233,16.976553330105514,17.93608450964491,0.8881995607694481,0.8837288565218546,2.452857368197806,3.7521984642008306,0.9556043925230532,0.0001838643006056626
873,17.985135782578396,15.472294672620844,14.16905000656973,16.967031432064157,17.92296819309228,0.9064532677178287,0.9026520333406148,2.459107300304395,3.717724668345085,0.9476685247346269,0.00017973556730538592
874,17.967023604777445,15.434831486950724,14.151776618286126,16.937379552507696,17.88962263987034,0.8858516780478617,0.8812656354828718,2.4594261176183236,3.723096866681925,0.9488189543438084,0.00019184064145910836
875,18.00109131094609,15.419447248144234,14.159283059987578,16.93069939280729,17.878699321072336,0.9036133888389742,0.8992642293113777,2.4652298439160347,3.691248266345086,0.9414718477718537,0.00018646101270007855
876,18.03326799422102,15.409409355628958,14.160605751971596,16.924883301300195,17.87068198178194,0.8763902789332374,0.8750596424270082,2.463443871576074,3.6977478099074763,0.9428604418674312,0.00019826884273214425
877,18.08333399606147,15.405273803439295,14.176245268998187,16.928404970901916,17.870558072594857,0.9094928335911133,0.9033726005643118,2.4718049581126227,3.671301777550328,0.9368524332215881,0.00019336332657209976
